Unnamed: 0_x,Entity,Year,Terrorist attacks,Oil Reserves (Barrels),Percentage of World Reserves,Country,Government Integrity,Judicial Effectiveness,Trade Freedom,Property Rights,Unnamed: 0_y,Lockheed Martin (Billion USD),General Dynamics (Billion USD)
77,Angola,2015,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,21,46.1,31.8
78,Angola,2016,2,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,22,47.2,30.6
79,Angola,2017,6,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,23,50.0,31.0
80,Angola,2018,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,24,53.8,36.2
81,Angola,2019,1,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,25,59.8,39.3
82,Angola,2020,1,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,26,65.4,38.0
83,Angola,2021,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,27,67.1,38.5
84,Argentina,1994,14,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,0,22.9,3.2
85,Argentina,1995,16,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,1,22.8,3.1
86,Argentina,1996,19,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,2,26.8,3.1
87,Argentina,1997,11,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,3,28.0,3.6
88,Argentina,1998,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,4,26.0,7.4
89,Argentina,1999,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,5,25.0,8.9
90,Argentina,2000,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,6,24.5,10.4
91,Argentina,2001,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,7,24.0,12.0
92,Argentina,2002,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,8,26.5,13.7
93,Argentina,2003,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,9,31.8,16.4
94,Argentina,2004,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,10,35.5,19.2
95,Argentina,2005,3,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,11,37.7,21.0
96,Argentina,2006,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,12,39.6,24.1
97,Argentina,2007,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,13,41.9,27.2
98,Argentina,2008,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,14,42.7,29.3
99,Argentina,2009,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,15,45.2,32.0
100,Argentina,2010,5,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,16,45.7,32.5
101,Argentina,2011,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,17,46.5,32.7
102,Argentina,2012,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,18,47.2,31.5
103,Argentina,2013,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,19,45.3,30.9
104,Argentina,2014,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,20,45.6,30.8
105,Argentina,2015,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,21,46.1,31.8
106,Argentina,2016,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,22,47.2,30.6
107,Argentina,2017,3,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,23,50.0,31.0
108,Argentina,2018,5,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,24,53.8,36.2
109,Argentina,2019,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,25,59.8,39.3
110,Argentina,2020,5,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,26,65.4,38.0
111,Argentina,2021,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5,27,67.1,38.5
112,Australia,1994,9,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,0,22.9,3.2
113,Australia,1995,5,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,1,22.8,3.1
114,Australia,1996,5,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,2,26.8,3.1
115,Australia,1997,4,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,3,28.0,3.6
116,Australia,1998,6,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,4,26.0,7.4
117,Australia,1999,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,5,25.0,8.9
118,Australia,2000,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,6,24.5,10.4
119,Australia,2001,2,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,7,24.0,12.0
120,Australia,2002,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,8,26.5,13.7
121,Australia,2003,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,9,31.8,16.4
122,Australia,2004,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,10,35.5,19.2
123,Australia,2005,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,11,37.7,21.0
124,Australia,2006,2,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,12,39.6,24.1
125,Australia,2007,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,13,41.9,27.2
126,Australia,2008,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,14,42.7,29.3
127,Australia,2009,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,15,45.2,32.0
128,Australia,2010,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,16,45.7,32.5
129,Australia,2011,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,17,46.5,32.7
130,Australia,2012,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,18,47.2,31.5
131,Australia,2013,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,19,45.3,30.9
132,Australia,2014,8,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,20,45.6,30.8
133,Australia,2015,12,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,21,46.1,31.8
134,Australia,2016,9,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,22,47.2,30.6
135,Australia,2017,4,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,23,50.0,31.0
136,Australia,2018,3,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,24,53.8,36.2
137,Australia,2019,2,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,25,59.8,39.3
138,Australia,2020,5,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,26,65.4,38.0
139,Australia,2021,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0,27,67.1,38.5
140,Austria,1994,5,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,0,22.9,3.2
141,Austria,1995,12,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,1,22.8,3.1
142,Austria,1996,4,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,2,26.8,3.1
143,Austria,1997,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,3,28.0,3.6
144,Austria,1998,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,4,26.0,7.4
145,Austria,1999,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,5,25.0,8.9
146,Austria,2000,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,6,24.5,10.4
147,Austria,2001,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,7,24.0,12.0
148,Austria,2002,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,8,26.5,13.7
149,Austria,2003,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,9,31.8,16.4
150,Austria,2004,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,10,35.5,19.2
151,Austria,2005,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,11,37.7,21.0
152,Austria,2006,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,12,39.6,24.1
153,Austria,2007,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,13,41.9,27.2
154,Austria,2008,7,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,14,42.7,29.3
155,Austria,2009,3,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,15,45.2,32.0
156,Austria,2010,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,16,45.7,32.5
157,Austria,2011,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,17,46.5,32.7
158,Austria,2012,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,18,47.2,31.5
159,Austria,2013,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,19,45.3,30.9
160,Austria,2014,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,20,45.6,30.8
161,Austria,2015,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,21,46.1,31.8
162,Austria,2016,3,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,22,47.2,30.6
163,Austria,2017,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,23,50.0,31.0
164,Austria,2018,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,24,53.8,36.2
165,Austria,2019,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,25,59.8,39.3
166,Austria,2020,4,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,26,65.4,38.0
167,Austria,2021,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9,27,67.1,38.5
168,Azerbaijan,1994,11,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,0,22.9,3.2
169,Azerbaijan,1995,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,1,22.8,3.1
170,Azerbaijan,1996,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,2,26.8,3.1
171,Azerbaijan,1997,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,3,28.0,3.6
172,Azerbaijan,1998,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,4,26.0,7.4
173,Azerbaijan,1999,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,5,25.0,8.9
174,Azerbaijan,2000,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,6,24.5,10.4
175,Azerbaijan,2001,4,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,7,24.0,12.0
176,Azerbaijan,2002,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,8,26.5,13.7
177,Azerbaijan,2003,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,9,31.8,16.4
178,Azerbaijan,2004,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,10,35.5,19.2
179,Azerbaijan,2005,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,11,37.7,21.0
180,Azerbaijan,2006,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,12,39.6,24.1
181,Azerbaijan,2007,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,13,41.9,27.2
182,Azerbaijan,2008,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,14,42.7,29.3
183,Azerbaijan,2009,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,15,45.2,32.0
184,Azerbaijan,2010,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,16,45.7,32.5
185,Azerbaijan,2011,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,17,46.5,32.7
186,Azerbaijan,2012,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,18,47.2,31.5
187,Azerbaijan,2013,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,19,45.3,30.9
188,Azerbaijan,2014,3,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,20,45.6,30.8
189,Azerbaijan,2015,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,21,46.1,31.8
190,Azerbaijan,2016,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,22,47.2,30.6
191,Azerbaijan,2017,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,23,50.0,31.0
192,Azerbaijan,2018,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,24,53.8,36.2
193,Azerbaijan,2019,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,25,59.8,39.3
194,Azerbaijan,2020,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,26,65.4,38.0
195,Azerbaijan,2021,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0,27,67.1,38.5
196,Bahrain,1994,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,0,22.9,3.2
197,Bahrain,1995,8,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,1,22.8,3.1
198,Bahrain,1996,16,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,2,26.8,3.1
199,Bahrain,1997,11,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,3,28.0,3.6
200,Bahrain,1998,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,4,26.0,7.4
201,Bahrain,1999,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,5,25.0,8.9
202,Bahrain,2000,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,6,24.5,10.4
203,Bahrain,2001,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,7,24.0,12.0
204,Bahrain,2002,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,8,26.5,13.7
205,Bahrain,2003,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,9,31.8,16.4
206,Bahrain,2004,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,10,35.5,19.2
207,Bahrain,2005,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,11,37.7,21.0
208,Bahrain,2006,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,12,39.6,24.1
209,Bahrain,2007,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,13,41.9,27.2
210,Bahrain,2008,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,14,42.7,29.3
211,Bahrain,2009,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,15,45.2,32.0
212,Bahrain,2010,2,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,16,45.7,32.5
213,Bahrain,2011,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,17,46.5,32.7
214,Bahrain,2012,26,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,18,47.2,31.5
215,Bahrain,2013,52,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,19,45.3,30.9
216,Bahrain,2014,42,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,20,45.6,30.8
217,Bahrain,2015,18,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,21,46.1,31.8
218,Bahrain,2016,3,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,22,47.2,30.6
219,Bahrain,2017,21,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,23,50.0,31.0
220,Bahrain,2018,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,24,53.8,36.2
221,Bahrain,2019,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,25,59.8,39.3
222,Bahrain,2020,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,26,65.4,38.0
223,Bahrain,2021,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1,27,67.1,38.5
224,Bangladesh,1994,68,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,0,22.9,3.2
225,Bangladesh,1995,74,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,1,22.8,3.1
226,Bangladesh,1996,161,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,2,26.8,3.1
227,Bangladesh,1997,17,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,3,28.0,3.6
228,Bangladesh,1998,2,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,4,26.0,7.4
229,Bangladesh,1999,11,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,5,25.0,8.9
230,Bangladesh,2000,23,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,6,24.5,10.4
231,Bangladesh,2001,15,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,7,24.0,12.0
232,Bangladesh,2002,5,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,8,26.5,13.7
233,Bangladesh,2003,4,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,9,31.8,16.4
234,Bangladesh,2004,11,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,10,35.5,19.2
235,Bangladesh,2005,23,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,11,37.7,21.0
236,Bangladesh,2006,23,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,12,39.6,24.1
237,Bangladesh,2007,9,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,13,41.9,27.2
238,Bangladesh,2008,19,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,14,42.7,29.3
239,Bangladesh,2009,27,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,15,45.2,32.0
240,Bangladesh,2010,22,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,16,45.7,32.5
241,Bangladesh,2011,13,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,17,46.5,32.7
242,Bangladesh,2012,18,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,18,47.2,31.5
243,Bangladesh,2013,138,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,19,45.3,30.9
244,Bangladesh,2014,130,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,20,45.6,30.8
245,Bangladesh,2015,469,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,21,46.1,31.8
246,Bangladesh,2016,89,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,22,47.2,30.6
247,Bangladesh,2017,41,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,23,50.0,31.0
248,Bangladesh,2018,33,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,24,53.8,36.2
249,Bangladesh,2019,32,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,25,59.8,39.3
250,Bangladesh,2020,30,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,26,65.4,38.0
251,Bangladesh,2021,10,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0,27,67.1,38.5
252,Barbados,1994,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,0,22.9,3.2
253,Barbados,1995,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,1,22.8,3.1
254,Barbados,1996,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,2,26.8,3.1
255,Barbados,1997,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,3,28.0,3.6
256,Barbados,1998,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,4,26.0,7.4
257,Barbados,1999,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,5,25.0,8.9
258,Barbados,2000,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,6,24.5,10.4
259,Barbados,2001,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,7,24.0,12.0
260,Barbados,2002,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,8,26.5,13.7
261,Barbados,2003,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,9,31.8,16.4
262,Barbados,2004,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3,10,35.5,19.2
