,Entity,Year,Terrorist attacks,Oil Reserves (Barrels),Percentage of World Reserves,Country,Government Integrity,Judicial Effectiveness,Trade Freedom,Property Rights
49,Algeria,2015,15,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
50,Algeria,2016,9,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
51,Algeria,2017,14,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
52,Algeria,2018,7,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
53,Algeria,2019,0,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
54,Algeria,2020,4,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
55,Algeria,2021,1,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
56,Angola,1994,9,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
57,Angola,1995,10,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
58,Angola,1996,4,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
59,Angola,1997,7,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
60,Angola,1998,20,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
61,Angola,1999,34,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
62,Angola,2000,22,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
63,Angola,2001,40,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
64,Angola,2002,6,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
65,Angola,2003,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
66,Angola,2004,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
67,Angola,2005,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
68,Angola,2006,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
69,Angola,2007,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
70,Angola,2008,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
71,Angola,2009,1,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
72,Angola,2010,2,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
73,Angola,2011,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
74,Angola,2012,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
75,Angola,2013,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
76,Angola,2014,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
77,Angola,2015,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
78,Angola,2016,2,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
79,Angola,2017,6,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
80,Angola,2018,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
81,Angola,2019,1,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
82,Angola,2020,1,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
83,Angola,2021,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4
84,Argentina,1994,14,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
85,Argentina,1995,16,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
86,Argentina,1996,19,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
87,Argentina,1997,11,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
88,Argentina,1998,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
89,Argentina,1999,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
90,Argentina,2000,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
91,Argentina,2001,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
92,Argentina,2002,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
93,Argentina,2003,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
94,Argentina,2004,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
95,Argentina,2005,3,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
96,Argentina,2006,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
97,Argentina,2007,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
98,Argentina,2008,0,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
99,Argentina,2009,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
100,Argentina,2010,5,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
101,Argentina,2011,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
102,Argentina,2012,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
103,Argentina,2013,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
104,Argentina,2014,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
105,Argentina,2015,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
106,Argentina,2016,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
107,Argentina,2017,3,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
108,Argentina,2018,5,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
109,Argentina,2019,1,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
110,Argentina,2020,5,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
111,Argentina,2021,2,2379702000,0.14,Argentina,39.8,55.8,58.6,34.5
112,Australia,1994,9,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
113,Australia,1995,5,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
114,Australia,1996,5,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
115,Australia,1997,4,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
116,Australia,1998,6,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
117,Australia,1999,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
118,Australia,2000,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
119,Australia,2001,2,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
120,Australia,2002,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
121,Australia,2003,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
122,Australia,2004,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
123,Australia,2005,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
124,Australia,2006,2,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
125,Australia,2007,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
126,Australia,2008,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
127,Australia,2009,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
128,Australia,2010,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
129,Australia,2011,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
130,Australia,2012,0,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
131,Australia,2013,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
132,Australia,2014,8,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
133,Australia,2015,12,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
134,Australia,2016,9,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
135,Australia,2017,4,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
136,Australia,2018,3,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
137,Australia,2019,2,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
138,Australia,2020,5,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
139,Australia,2021,1,1193000000,0.07,Australia,85.2,94.4,89.8,91.0
140,Austria,1994,5,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
141,Austria,1995,12,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
142,Austria,1996,4,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
143,Austria,1997,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
144,Austria,1998,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
145,Austria,1999,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
146,Austria,2000,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
147,Austria,2001,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
148,Austria,2002,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
149,Austria,2003,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
150,Austria,2004,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
151,Austria,2005,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
152,Austria,2006,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
153,Austria,2007,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
154,Austria,2008,7,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
155,Austria,2009,3,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
156,Austria,2010,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
157,Austria,2011,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
158,Austria,2012,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
159,Austria,2013,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
160,Austria,2014,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
161,Austria,2015,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
162,Austria,2016,3,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
163,Austria,2017,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
164,Austria,2018,1,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
165,Austria,2019,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
166,Austria,2020,4,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
167,Austria,2021,0,45400000,0.0028,Austria,74.8,94.8,79.2,96.9
168,Azerbaijan,1994,11,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
169,Azerbaijan,1995,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
170,Azerbaijan,1996,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
171,Azerbaijan,1997,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
172,Azerbaijan,1998,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
173,Azerbaijan,1999,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
174,Azerbaijan,2000,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
175,Azerbaijan,2001,4,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
176,Azerbaijan,2002,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
177,Azerbaijan,2003,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
178,Azerbaijan,2004,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
179,Azerbaijan,2005,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
180,Azerbaijan,2006,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
181,Azerbaijan,2007,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
182,Azerbaijan,2008,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
183,Azerbaijan,2009,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
184,Azerbaijan,2010,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
185,Azerbaijan,2011,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
186,Azerbaijan,2012,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
187,Azerbaijan,2013,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
188,Azerbaijan,2014,3,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
189,Azerbaijan,2015,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
190,Azerbaijan,2016,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
191,Azerbaijan,2017,2,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
192,Azerbaijan,2018,1,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
193,Azerbaijan,2019,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
194,Azerbaijan,2020,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
195,Azerbaijan,2021,0,7000000000,0.42,Azerbaijan,24.0,18.5,69.0,53.0
196,Bahrain,1994,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
197,Bahrain,1995,8,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
198,Bahrain,1996,16,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
199,Bahrain,1997,11,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
200,Bahrain,1998,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
201,Bahrain,1999,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
202,Bahrain,2000,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
203,Bahrain,2001,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
204,Bahrain,2002,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
205,Bahrain,2003,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
206,Bahrain,2004,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
207,Bahrain,2005,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
208,Bahrain,2006,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
209,Bahrain,2007,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
210,Bahrain,2008,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
211,Bahrain,2009,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
212,Bahrain,2010,2,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
213,Bahrain,2011,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
214,Bahrain,2012,26,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
215,Bahrain,2013,52,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
216,Bahrain,2014,42,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
217,Bahrain,2015,18,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
218,Bahrain,2016,3,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
219,Bahrain,2017,21,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
220,Bahrain,2018,1,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
221,Bahrain,2019,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
222,Bahrain,2020,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
223,Bahrain,2021,0,124560000,0.008,Bahrain,38.0,30.2,85.2,65.1
224,Bangladesh,1994,68,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
225,Bangladesh,1995,74,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
226,Bangladesh,1996,161,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
227,Bangladesh,1997,17,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
228,Bangladesh,1998,2,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
229,Bangladesh,1999,11,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
230,Bangladesh,2000,23,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
231,Bangladesh,2001,15,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
232,Bangladesh,2002,5,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
233,Bangladesh,2003,4,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
234,Bangladesh,2004,11,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
235,Bangladesh,2005,23,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
236,Bangladesh,2006,23,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
237,Bangladesh,2007,9,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
238,Bangladesh,2008,19,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
239,Bangladesh,2009,27,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
240,Bangladesh,2010,22,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
241,Bangladesh,2011,13,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
242,Bangladesh,2012,18,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
243,Bangladesh,2013,138,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
244,Bangladesh,2014,130,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
245,Bangladesh,2015,469,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
246,Bangladesh,2016,89,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
247,Bangladesh,2017,41,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
248,Bangladesh,2018,33,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
249,Bangladesh,2019,32,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
250,Bangladesh,2020,30,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
251,Bangladesh,2021,10,28000000,0.0017,Bangladesh,23.0,28.8,62.0,36.0
252,Barbados,1994,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
253,Barbados,1995,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
254,Barbados,1996,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
255,Barbados,1997,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
256,Barbados,1998,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
257,Barbados,1999,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
258,Barbados,2000,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
259,Barbados,2001,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
260,Barbados,2002,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
261,Barbados,2003,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
262,Barbados,2004,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
263,Barbados,2005,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
264,Barbados,2006,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
265,Barbados,2007,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
266,Barbados,2008,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
267,Barbados,2009,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
268,Barbados,2010,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
269,Barbados,2011,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
270,Barbados,2012,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
271,Barbados,2013,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
272,Barbados,2014,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
273,Barbados,2015,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
274,Barbados,2016,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
275,Barbados,2017,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
276,Barbados,2018,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
277,Barbados,2019,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
278,Barbados,2020,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
279,Barbados,2021,0,2315000,0.0001,Barbados,68.3,87.3,43.6,72.3
280,Belarus,1994,1,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
281,Belarus,1995,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
282,Belarus,1996,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
283,Belarus,1997,2,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
284,Belarus,1998,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
285,Belarus,1999,1,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
286,Belarus,2000,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
287,Belarus,2001,1,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
288,Belarus,2002,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
289,Belarus,2003,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
290,Belarus,2004,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
291,Belarus,2005,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
292,Belarus,2006,1,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
293,Belarus,2007,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
294,Belarus,2008,1,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
295,Belarus,2009,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
296,Belarus,2010,2,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
297,Belarus,2011,1,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
298,Belarus,2012,3,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
299,Belarus,2013,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
300,Belarus,2014,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
301,Belarus,2015,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
302,Belarus,2016,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
303,Belarus,2017,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
304,Belarus,2018,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
305,Belarus,2019,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
306,Belarus,2020,2,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
307,Belarus,2021,0,198000000,0.012,Belarus,33.0,11.1,70.8,22.1
308,Belize,1994,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
309,Belize,1995,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
310,Belize,1996,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
311,Belize,1997,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
312,Belize,1998,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
313,Belize,1999,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
314,Belize,2000,1,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
315,Belize,2001,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
316,Belize,2002,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
317,Belize,2003,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
318,Belize,2004,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
319,Belize,2005,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
320,Belize,2006,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
321,Belize,2007,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
322,Belize,2008,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
323,Belize,2009,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
324,Belize,2010,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
325,Belize,2011,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
326,Belize,2012,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
327,Belize,2013,1,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
328,Belize,2014,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
329,Belize,2015,0,6700000,0.0004,Belize,41.4,71.5,55.2,34.1
